STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
1,明らか,あきらか,Rõ ràng,その後、社内の営業担当の部署で共有されていたことが先月明らかになりました。,"Sau đó, vào tháng trước, người ta làm rõ rằng thông tin này đã được chia sẻ với bộ phận bán hàng của công ty.",https://www3.nhk.or.jp/news/html/20250818/k10014897011000.html,,,
2,安全な,あんぜんな,an toàn,アセアン証券の専門家は、短期トレーディングスクールでは、株式を保有する投資家は、安全な資本価値を持ち、短期的な上昇トレンドを維持している株式の現在のポジションのみを維持すべきだと考えている。,"chuyên gia đến từ Chứng khoán Asean cho rằng, với trường phái giao dịch ngắn hạn, nhà đầu tư đang nắm giữ cổ phiếu chỉ nên duy trì vị thế hiện tại đối với các cổ phiếu có giá vốn an toàn và đang duy trì xu hướng tăng ngắn hạn.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
3,短期的な,たんきてきな,ngắn hạn,アセアン証券の専門家は、短期トレーディングスクールでは、株式を保有する投資家は、安全な資本価値を持ち、短期的な上昇トレンドを維持している株式の現在のポジションのみを維持すべきだと考えている。,"chuyên gia đến từ Chứng khoán Asean cho rằng, với trường phái giao dịch ngắn hạn, nhà đầu tư đang nắm giữ cổ phiếu chỉ nên duy trì vị thế hiện tại đối với các cổ phiếu có giá vốn an toàn và đang duy trì xu hướng tăng ngắn hạn.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
4,安定的な,あんていてきな,ổn định (tính bền vững),裁判所の判決は、長年の課題を解決するのに役立つと同時に、ThuDuc Houseが今後徐々に回復し、安定的に発展していくための原動力となるでしょう,"Phán quyết của Tòa án giúp chúng tôi tháo gỡ vướng mắc kéo dài, đồng thời tạo động lực để ThuDuc House từng bước phục hồi, phát triển ổn định trong thời gian tới",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
5,一時的な,いちじてきな,tính nhất thời,また直近の消費者物価指数が2％を超える状況が続いていることについて「コメ価格の急上昇が起点となって起きた一時的な変動の面がかなりある,"Liên quan đến tình hình gần đây khi chỉ số giá tiêu dùng tiếp tục vượt quá 2%, ông cho biết: ""Có một khía cạnh đáng kể về biến động tạm thời bắt đầu từ việc giá gạo tăng đột ngột.",https://www3.nhk.or.jp/news/html/20250902/k10014909801000.html,,,
6,一方的な,いっぽうてきな,một chiều,一方的な値上がりの展開とはならなかった。,Thị trường không diễn biến theo chiều hướng tăng giá một chiều.,https://www3.nhk.or.jp/news/html/20250902/k10014910231000.html,,,
7,異例な,いれいな,chưa từng có tiền lệ,買い越しが2万枚を超えるのは異例だといいます。,Việc mua theo số dư vượt mức 20 ngàn Yên là chưa từng có tiền lệ,https://www3.nhk.or.jp/news/html/20250901/k10014909121000.html,,,
8,円滑な,えんかつな,suôn sẻ,会談は終始円滑に進められました。,Cuộc họp diễn ra suôn sẻ từ đầu đến cuối.,https://www3.nhk.or.jp/news/html/20250816/k10014896421000.html,,,
9,大幅な,おおはばな,"lớn, đáng kể",ThuDuc Houseの2025年第2四半期の財務報告では、税引後利益が132億ドンと、同時期の260億ドンの損失を大幅に上回りました,"Báo cáo tài chính quý II/2025 của ThuDuc House ghi nhận lợi nhuận sau thuế 13,2 tỉ đồng, khả quan hơn nhiều so với mức lỗ 26 tỉ đồng cùng kỳ.",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
10,主な,おもな,"chủ yếu, chính ",auの主な料金プランについて…,Về các gói cước chính của au…,https://www3.nhk.or.jp/news/html/20250903/k10014911071000.html,,,
