STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
1,明らかな,あきらかな,Rõ ràng, ロシア経済はかつて制裁にもかかわらず目覚ましい成長を記録しましたが、最近は明らかに減速の兆候を見せています。モスクワの経済成長モデルは徐々に限界を見せつつあるのでしょうか？,"Kinh tế Nga từng ghi nhận mức tăng trưởng ấn tượng bất chấp trừng phạt, nhưng gần đây đang lộ rõ dấu hiệu suy yếu. Mô hình tăng trưởng kinh tế của Moscow đang dần bộc lộ giới hạn?",https://www.vietnam.vn/ja/kinh-te-nga-ghi-nhan-loat-bao-dong-do-moscow-da-ngam-don-trung-phat,https://dantri.com.vn/kinh-doanh/kinh-te-nga-ghi-nhan-loat-bao-dong-do-moscow-da-ngam-don-trung-phat-20250725235109177.htm,,
2,安全な,あんぜんな,an toàn,アセアン証券の専門家は、短期トレーディングスクールでは、株式を保有する投資家は、安全な資本価値を持ち、短期的な上昇トレンドを維持している株式の現在のポジションのみを維持すべきだと考えている。,"chuyên gia đến từ Chứng khoán Asean cho rằng, với trường phái giao dịch ngắn hạn, nhà đầu tư đang nắm giữ cổ phiếu chỉ nên duy trì vị thế hiện tại đối với các cổ phiếu có giá vốn an toàn và đang duy trì xu hướng tăng ngắn hạn.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
3,短期的な,たんきてきな,ngắn hạn,アセアン証券の専門家は、短期トレーディングスクールでは、株式を保有する投資家は、安全な資本価値を持ち、短期的な上昇トレンドを維持している株式の現在のポジションのみを維持すべきだと考えている。,"chuyên gia đến từ Chứng khoán Asean cho rằng, với trường phái giao dịch ngắn hạn, nhà đầu tư đang nắm giữ cổ phiếu chỉ nên duy trì vị thế hiện tại đối với các cổ phiếu có giá vốn an toàn và đang duy trì xu hướng tăng ngắn hạn.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
4,安定的な,あんていてきな,ổn định (tính bền vững),裁判所の判決は、長年の課題を解決するのに役立つと同時に、ThuDuc Houseが今後徐々に回復し、安定的に発展していくための原動力となるでしょう,"Phán quyết của Tòa án giúp chúng tôi tháo gỡ vướng mắc kéo dài, đồng thời tạo động lực để ThuDuc House từng bước phục hồi, phát triển ổn định trong thời gian tới",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
5,一時的な,いちじてきな,"tính nhất thời, tạm thời",このプロセスの重要な要素は、戦略産業への個別関税です。例えば4月、ホワイトハウスはスマートフォン、コンピューター、その他多くの電子部品を相互関税の対象から除外しました。当時、ハワード・ラトニック商務長官は、これは一時的な措置に過ぎず、これらの製品は「1～2か月」以内に個別の関税の対象となると警告しました。,"Trong quá trình ấy, một yếu tố quan trọng cần chú ý là thuế riêng cho các ngành hàng chiến lược. Ví dụ như hồi tháng 4, Nhà Trắng đã loại trừ smartphone, máy tính và nhiều linh kiện điện tử khác khỏi danh sách áp thuế đối ứng. Bộ trưởng Thương mại Howard Lutnick khi ấy đã cảnh báo rằng đây chỉ là biện pháp tạm thời, và các sản phẩm này sẽ bị áp thuế riêng trong ""khoảng một hoặc hai tháng"" tới.",https://www.vietnam.vn/ja/thue-quan-moi-cua-my-thang-loi-tam-thoi-cho-asean,https://tuoitre.vn/thue-quan-moi-cua-my-thang-loi-tam-thoi-cho-asean-20250802074634277.htm,,
6,一方的な,いっぽうてきな,"một chiều, đơn phương",ASEAN経済大臣会議は4月10日午前、情報交換や状況評価を行うとともに、地域の経済的利益を守り、企業や人々の生活への悪影響を減らすために各国に一方的に関税を課している米国に対するASEANの戦略的アプローチについて議論するため開催された。,"Hội nghị Bộ trưởng Kinh tế ASEAN diễn ra sáng 10/4 nhằm cùng nhau trao đổi, đánh giá tình hình và thảo luận cách tiếp cận chiến lược của ASEAN đối với việc Mỹ đơn phương áp thuế các nước nhằm bảo vệ lợi ích kinh tế khu vực, giảm tác động tiêu cực đến doanh nghiệp và cuộc sống của người dân. ",https://www.vietnam.vn/ja/asean-ban-cach-giam-tac-dong-tieu-cuc-khi-my-don-phuong-ap-thue,https://doanhnghiepvn.vn/kinh-te/chinh-sach/asean-ban-cach-giam-tac-dong-tieu-cuc-khi-my-don-phuong-ap-thue/20250410022046657,,
7,異例な,いれいな,"ngoại lệ, hiếm thấy",ベトナムは、東南アジア諸国連合（ASEAN）の中で唯一、2025年の成長率予測を4月の6.6%から6.7%に上方修正したという点で、この地域における異例のケースと言えるでしょう。2025年上半期のベトナムの国内総生産（GDP）は、堅調な輸出、製造業とサービス業の大幅な改善、そしてFDIの急増により、7.52%と近年最高の成長率を記録しました。,"Việt Nam là trường hợp ngoại lệ trong khu vực, là nền kinh tế duy nhất ở Đông Nam Á được nâng dự báo tăng trưởng cho năm 2025, từ mức 6,6% được dự báo hồi tháng 4 lên 6,7%. Trong nửa đầu năm 2025, tổng thu nhập quốc nội (GDP) của Việt Nam đạt mức 7,52% - mức cao nhất trong nhiều năm - nhờ xuất khẩu mạnh, sản xuất chế tạo và dịch vụ cải thiện đáng kể, cùng dòng vốn FDI giải ngân tăng vọt.",https://www.vietnam.vn/ja/adb-nang-du-bao-tang-truong-nam-2025-cua-viet-nam-len-6-7?utm_source=chatgpt.com,https://baotintuc.vn/kinh-te/adb-nang-du-bao-tang-truong-nam-2025-cua-viet-nam-len-67-20250930183749944.htm,,
8,円滑な,えんかつな,suôn sẻ,会議の最後に、ブイ・タン・ソン副首相は商工省に対し、調整された第8次電力計画が円滑に実施され、今後すべての社会経済活動に十分な電力を供給できるよう、引き続き解決策を検討するよう要請した。,"Phó Thủ tướng Chính phủ Bùi Thanh Sơn đề nghị Bộ Công Thương tiếp tục có những giải pháp để đảm bảo Quy hoạch điện VIII điều chỉnh được thực hiện thông suốt, đáp ứng đủ điện phục vụ cho mọi hoạt động kinh tế - xã hội trong thời gian tới.",https://www.vietnam.vn/ja/dam-bao-thong-suot-dap-ung-du-dien-phuc-vu-cho-moi-hoat-dong-kinh-te-xa-hoi,https://www.vietnam.vn/dam-bao-thong-suot-dap-ung-du-dien-phuc-vu-cho-moi-hoat-dong-kinh-te-xa-hoi,,
9,大幅な,おおはばな,"lớn, đáng kể",ThuDuc Houseの2025年第2四半期の財務報告では、税引後利益が132億ドンと、同時期の260億ドンの損失を大幅に上回りました,"Báo cáo tài chính quý II/2025 của ThuDuc House ghi nhận lợi nhuận sau thuế 13,2 tỉ đồng, khả quan hơn nhiều so với mức lỗ 26 tỉ đồng cùng kỳ.",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
10,主な,おもな,"chủ yếu, chính ",2025年第1四半期の国内総生産（GDP）は6.93%増加し、そのうち農林水産業は3.74%、工業・建設業は7.42%、サービス業は7.70%増加しました。主な成長要因は最終消費で、同期間に7.45%増加し、GDP成長率への寄与度が最も高く（68.9%）、投資（資産蓄積）は7.24%増加し、8年間で最高の伸びを示しました。,"Tổng sản phẩm trong nước (GDP) quý I năm 2025 tăng 6,93%, trong đó: Khu vực nông, lâm nghiệp và thủy sản tăng 3,74%; Khu vực công nghiệp và xây dựng tăng 7,42 phần trăm; Khu vực dịch vụ tăng 7,70%. Động lực tăng trưởng chính là tiêu dùng cuối cùng tăng 7,45% so với cùng kỳ, đóng góp cao nhất vào tăng trưởng GDP (68,9%); đầu tư (tích lũy tài sản) tăng 7,24%, tăng trưởng cao nhất trong vòng 8 năm.",https://www.vietnam.vn/ja/buc-tranh-sang-mau-cua-nen-kinh-te-viet-nam-trong-quy-i-2025?utm_source=chatgpt.com,https://baolamdong.vn/buc-tranh-sang-mau-cua-nen-kinh-te-viet-nam-trong-quy-i-2025-249261.html,,
11,確実な,かくじつ,"xác thực, đảm bảo",AI が安全かつ持続可能かつ確実に動作することを保証するには、システム ガバナンスとリスク管理がますます重要になります。,"quản trị hệ thống cùng kiểm soát rủi ro ngày càng đóng vai trò quan trọng để đảm bảo AI vận hành an toàn, bền vững và đáng tin cậy.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
