STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),Ghi chú
1,厚い,あつい,dày dặn,WCCF Techによると、iPhone SE 4のシミュレーションモデルが公開され、iPhone 16と比較するために「スケール」に載せられたところ、SE 4の単一のカメラリングがかなり厚くなったことを除いて、2つのデバイスのデザインはほぼ同じであることがわかった。,"Theo WCCF Tech, mô hình giả lập của iPhone SE 4 vừa lộ diện và được đặt lên 'cán cân' so sánh với iPhone 16, cho thấy thiết kế hai máy gần như giống hệt nhau, ngoại trừ vòng camera đơn của SE 4 dày hơn đáng kể.",https://www.vietnam.vn/ja/iphone-se-4-lo-dien-voi-camera-day-hon-iphone-16,https://thanhnien.vn/iphone-se-4-lo-dien-voi-camera-day-hon-iphone-16-185250128121955154.htm,
2,多い,おおい,nhiều,オークションに出品されている品物には、Samsung、iPhone、Nokia、Oppo など、多くの有名ブランドの携帯電話が含まれています。,"Trong danh mục hàng hóa đấu giá là điện thoại di động có nhiều thương hiệu quen thuộc như Samsung, iPhone, Nokia, Oppo…",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,
3,大きい,おおきい,"lớn, mạnh",2025年のベトナムの小売市場は大きく変化しています。,Thị trường bán lẻ Việt Nam năm 2025 đang chuyển mình mạnh mẽ.,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
4,厳しい,きびしい,"nghiêm khắc, khắc nghiệt",フン・グエン・ナム村の指導者によると、定期的な研修と農業普及活動は人々の考え方を変え、 科学技術を応用するのに役立ち、それによって生産性が向上し、コストが削減され、ますます厳しくなる食品安全要件を満たすことができるという。,"Theo lãnh đạo xã Hưng Nguyên Nam, công tác tập huấn và khuyến nông thường xuyên giúp bà con thay đổi tư duy, áp dụng khoa học kỹ thuật, từ đó nâng cao năng suất, giảm chi phí, đáp ứng yêu cầu an toàn thực phẩm ngày càng cao (nghiêm khắc).",https://www.vietnam.vn/ja/kinh-te-nong-ho-vung-vang-nho-biet-phong-hon-chong,https://baonghean.vn/kinh-te-nong-ho-vung-vang-nho-biet-phong-hon-chong-10304782.html,
5,好ましい,このましい,thuận lợi,トゥアン博士はまた、 政府が民間の経済的インセンティブを推進している状況と、不動産部門に外国資本を誘致する能力が、トゥティエムのプロジェクトを含め、資本が拡散するのに好ましい条件を作り出す要因であると述べた。 ,"TS Thuận cũng nhận định bối cảnh Chính phủ đẩy mạnh khuyến khích kinh tế tư nhân và khả năng thu hút vốn ngoại vào lĩnh vực bất động sản là những yếu tố tạo điều kiện thuận lợi để dòng vốn lan tỏa, trong đó có các dự án ở Thủ Thiêm.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-ho-o-thu-thiem-196250919130352158.htm,
6,少ない,すくない,"ít, thấp",ヴァン・ディン・タオ同志によると、第1四半期の経済状況は明るい兆しが多かったものの、今後克服すべき制約がいくつかあるという。特に、複数のプロジェクトにおける補償や用地確保の進捗に関する制約が顕著である。2025年の公共投資資金の支出は鈍く（割当資本計画の7.1%にとどまり、2024年の同時期より低い）、省内の新規企業設立数は少なく（2024年の同時期より7%減）、一時休止・解散した企業数が増加している（解散企業は9社、同時期より80%増、一時休止企業は147社、同時期より13%増）。,"Theo đồng chí Vân Đình Thảo, mặc dù bức tranh kinh tế quý I có nhiều điểm sáng vẫn còn một số hạn chế cần phải khắc phục trong thời gian tới. Đặc biệt là hạn chế liên quan đến tiến độ thực hiện công tác bồi thường, giải phóng mặt bằng đối với một số dự án; việc giải ngân vốn đầu tư công năm 2025 chậm (đạt 7,1% kế hoạch vốn được giao, thấp hơn so với cùng kỳ năm 2024). Số lượng doanh nghiệp thành lập mới trên địa bàn tỉnh đạt thấp (giảm 7% so với cùng kỳ năm 2024), số doanh nghiệp tạm ngừng, giải thể tăng (giải thể 09 doanh nghiệp, tăng 80% so với cùng kỳ, tạm ngừng 147 doanh nghiệp, tăng 13% so với cùng kỳ).",https://www.vietnam.vn/ja/kinh-te-quy-i-nhieu-diem-sang,https://baotuyenquang.com.vn/kinh-te-quy-i-nhieu-diem-sang-209084.html,
7,狭い,せまい,hẹp,新たな規制の下では、革新的なスタートアップ投資ファンドは、従来の狭い範囲ではなく、2～30人の投資家を動員することができます。現金以外の出資対象は、土地使用権、知的財産、技術、その他の法的資産に拡大されます。さらに、直接出資に加えて、株式購入権や転換証券といった形態も追加され、投資メカニズムはより柔軟になります。,"Theo quy định mới, quỹ đầu tư khởi nghiệp sáng tạo có thể huy động từ 2 đến 30 nhà đầu tư, thay vì phạm vi hẹp như trước đây. Tài sản góp vốn ngoài tiền mặt được mở rộng sang quyền sử dụng đất, tài sản trí tuệ, công nghệ hoặc các tài sản hợp pháp khác. Bên cạnh đó, cơ chế đầu tư cũng linh hoạt hơn khi bổ sung hình thức quyền mua cổ phần, công cụ chuyển đổi, ngoài việc góp vốn trực tiếp.",https://www.vietnam.vn/ja/nhieu-chinh-sach-moi-lien-quan-den-kinh-te-co-hieu-luc-tu-1-9,https://baothanhhoa.vn/nhieu-chinh-sach-moi-lien-quan-den-kinh-te-co-hieu-luc-tu-1-9-259751.htm,
8,底堅い,そこがたい,"vững chắc, vững vàng",ベトナム経済の見通しについて、ADBは、拡張的な財政・金融政策により、2025～2026年も経済は底堅く推移すると述べた。8月7日に発効した米国の輸入品20%、通過貨物40%の相互関税は、短期的な成長に影響を及ぼす可能性があるものの、経済刺激策によってその影響は緩和されると予想される。,"Về triển vọng của nền kinh tế Việt Nam, ADB cho biết, nền kinh tế vẫn sẽ vững vàng trong giai đoạn 2025 - 2026, nhờ có chính sách tài khóa và tiền tệ mở rộng. Các mức thuế đối ứng của Mỹ có hiệu lực từ ngày 7/8 là 20% đối với hàng nhập khẩu và 40% đối với hàng trung chuyển có thể ảnh hưởng đến tăng trưởng ngắn hạn, song các chính sách kích thích kinh tế được kỳ vọng sẽ giảm nhẹ tác động này. ",https://www.vietnam.vn/ja/adb-kinh-te-viet-nam-tang-truong-an-tuong,https://vtcnews.vn/adb-kinh-te-viet-nam-tang-truong-an-tuong-ar968333.html,
9,高い,たかい,cao,化粧品業界は消費者からの高い信頼を必要とします。,Lĩnh vực mỹ phẩm đòi hỏi sự tin tưởng cao từ người tiêu dùng.,https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
10,正しい,ただしい,"đúng, chính xác",The Highのおかげで肌が改善したというお客様からの声や、私のストーリーに共感していただいた時、私は自分が正しい道を歩んでいると実感します」と、CEOのチュオン・ヒエン氏は付け加えました。,"Khi khách hàng chia sẻ rằng làn da của họ đã cải thiện nhờ The High hay chỉ đơn giản là họ cảm thấy được truyền cảm hứng bởi câu chuyện của tôi, đó là lúc tôi nhận ra mình đã đi đúng hướng"", CEO Trương Hiền bày tỏ thêm.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,
