STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),
1,厚い,あつい,dày dặn,危険物がある場所で厚い防護服を着て捜査にあたる『公安機動捜査隊』の隊員などがファッションショーのように次々とステージにあがり、それぞれの仕事の魅力を紹介していました。,"Các thành viên của ""Đội điều tra cơ động công an"" mặc trang phục bảo hộ dày để điều tra tại những nơi có vật liệu nguy hiểm đã lần lượt lên sân khấu như trong một buổi trình diễn thời trang và giới thiệu sự hấp dẫn của công việc của mình.",https://www3.nhk.or.jp/news/html/20250712/k10014861461000.html,,
2,危ない,あぶない,nguy hiểm,まずはよく分からない広告や知らない人から来たダイレクトメッセージでやりとりを始めない、危ないところには近づかないという心構えが重要です,"Đầu tiên, điều quan trọng là phải có thái độ cẩn trọng, không bắt đầu trao đổi qua quảng cáo không rõ ràng hay tin nhắn trực tiếp từ người lạ, không đến gần những nơi nguy hiểm.",https://www3.nhk.or.jp/news/html/20250829/k10014902441000.html,,
3,危うい,あやうい,mong manh/ thiếu vững chắc,関税自体、法的根拠が危うく…,Bản thân thuế quan có cơ sở pháp lý thiếu vững chắc…,https://www3.nhk.or.jp/news/html/20250830/k10014907951000.html,https://context.reverso.net/translation/japanese-english/%E3%81%8C%E5%8D%B1%E3%81%86%E3%81%8F%E3%81%AA%E3%81%A3,
4,痛い,いたい,nhức nhối (kinh tế),せっかくの夏休みなので多くの子どもたちに来てほしいが、この日差しと暑さの中で来場を呼びかけるのも難しい。収入の面でも痛いです,"Đang là kỳ nghỉ hè nên chúng tôi muốn nhiều trẻ em đến đây, nhưng giữa cái nắng nóng thế này thì thật khó để khuyến khích các em đi đến công viên. Về mặt doanh thu cũng là một vấn đề nhức nhối",https://www3.nhk.or.jp/news/html/20250815/k10014894571000.html,,
5,偉い,えらい,"vĩ đại, tuyệt vời",「車いすだから偉いんじゃなくて」国枝慎吾さんもう1つの戦い,“Không phải vì ngồi xe lăn mà trở nên vĩ đại” – Cuộc chiến khác của Shingo Kunieda.,https://www3.nhk.or.jp/news/html/20230213/k10013975931000.html,,
6,多い,おおい,nhiều,オークションに出品されている品物には、Samsung、iPhone、Nokia、Oppo など、多くの有名ブランドの携帯電話が含まれています。,"Trong danh mục hàng hóa đấu giá là điện thoại di động có nhiều thương hiệu quen thuộc như Samsung, iPhone, Nokia, Oppo…",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm
7,大きい,おおきい,"lớn, mạnh",2025年のベトナムの小売市場は大きく変化しています。,Thị trường bán lẻ Việt Nam năm 2025 đang chuyển mình mạnh mẽ.,https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,
8,重い,おもい,Nặng nề,このような事案を発生させたことを重く受け止め、実態解明に全力を尽くします,Chúng tôi rất coi trọng sự việc này và sẽ cố gắng hết sức để làm rõ tình hình.,https://www3.nhk.or.jp/news/html/20250818/k10014897011000.html,,
9,軽い,かるい,nhẹ,宮城県気仙沼市で26日、散歩中の70代の男性2人がニホンカモシカに相次いで襲われ、軽いけがをしました。,"Ngày 26 tại thành phố Kesennuma, tỉnh Miyagi, hai người đàn ông ở độ tuổi 70 đang đi dạo đã lần lượt bị một con linh dương Nhật Bản tấn công và bị thương nhẹ.",https://www3.nhk.or.jp/news/html/20250727/k10014875711000.html,,
10,厳しい,きびしい,"nghiêm khắc, khắc nghiệt",夏場は厳しい暑さの影響で客足が鈍っているとみています。,Có vẻ lượng khách đang giảm xuống do mùa hè quá nóng,https://www3.nhk.or.jp/news/html/20250815/k10014894571000.html,,
11,好ましい,このましい,thuận lợi,トゥアン博士はまた、 政府が民間の経済的インセンティブを推進している状況と、不動産部門に外国資本を誘致する能力が、トゥティエムのプロジェクトを含め、資本が拡散するのに好ましい条件を作り出す要因であると述べた。 ,"TS Thuận cũng nhận định bối cảnh Chính phủ đẩy mạnh khuyến khích kinh tế tư nhân và khả năng thu hút vốn ngoại vào lĩnh vực bất động sản là những yếu tố tạo điều kiện thuận lợi để dòng vốn lan tỏa, trong đó có các dự án ở Thủ Thiêm.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-ho-o-thu-thiem-196250919130352158.htm,
12,少ない,すくない,ít,背景として、企業からは政治が安定しないという声があがっているものの、世界各国の投資残高をみると、歴史的に関係の深いヨーロッパの国々が多いというだけでなく、中国も日本の5倍以上の420億ドルに上り、日本の少なさが顕著になっています。,"Xét về bối cảnh, mặc dù phía các doanh nghiệp đã lên tiếng rằng do tình hình chính trị bất ổn, thế nhưng khi nhìn vào cán cân đầu tư của các nước, không chỉ nhiều khoản đầu tư từ châu Âu mà châu Phi đã có mối quan hệ sâu sắc từ trước, mà còn từ Trung Quốc với 42 tỷ Đô, khiến cho khoản đầu tư của Nhật trở nên nhỏ đáng kể",https://www3.nhk.or.jp/news/html/20250818/k10014896421000.html,,
13,すごい,すごい,"Tuyệt vời, lớn",当初、随意契約の備蓄米の人気はすごいものがあったが、その人気が少し落ち着いてきた,"Ban đầu, việc tích trữ gạo theo hợp đồng tùy ý rất được ưa chuộng, nhưng sau đó đã giảm dần.",https://www3.nhk.or.jp/news/html/20250818/k10014896681000.html,,
14,素晴らしい,すばらしい,tuyệt vời,本当に政治とカネの問題とか、与党の追及では非常に素晴らしいものがありますけれども、やっぱりどうしても異論を許さない党のイメージというのが払拭できないのではないかというふうに私自身は思っています。,"Thực sự, vấn đề chính trị và tiền bạc, cũng như sự truy cứu của đảng cầm quyền là những điều rất tuyệt vời, nhưng tôi vẫn nghĩ rằng hình ảnh của một đảng không cho phép bất kỳ ý kiến trái chiều nào là điều không thể xóa bỏ.",https://www3.nhk.or.jp/news/html/20250702/k10014851021000.html,,
15,狭い,せまい,hẹp,過去の値動きと比べて、狭いレンジに収まっている。,"So với các biến động trước đây, tỷ giá hiện nằm trong biên độ hẹp.",https://www3.nhk.or.jp/news/html/20250829/k10014905911000.html,,
